FCC,BCC,HCP,IM,Phase,Alloy name,Environment,Concentration in M,Electrolyte,Corrosion potential (mV vs SCE),Pitting potential (mV vs SCE),Icorr (microA/cm2),Calculated passive window,Processing,Al,B,Be,Co,Cr,Cu,Fe,Ga,Hf,La,Mg,Mn,Mo,Nb,Ni,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,Reference
0,0,0,0,missing,CoCrFeNiTi,3.5% NaCl solution at 353K,0.6,NaCl,,0.84,,,EBM - ST (A.C),0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,https://doi.org/10.1016/j.addma.2018.10.023
1,1,0,1,BCC+B2+FCC,AlCoCrFeNi,0.5 M H2SO4,0.5,H2SO4,-197,,54.95,,as-cast,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.06.024
1,1,0,1,BCC+B3+FCC,AlCoCrFeNi,0.5 M H2SO4,0.5,H2SO4,-204,,109.14,,2hr annealed,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.06.024
1,1,0,1,BCC+B4+FCC,AlCoCrFeNi,0.5 M H2SO4,0.5,H2SO4,-224,,81.66,,10hr annealed,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.06.024
1,1,0,1,BCC+B5+FCC,AlCoCrFeNi,0.5 M H2SO4,0.5,H2SO4,-168.8,,30.41,,48hr annealed,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.06.024
0,1,0,1,BCC2 + Laves + BCC1 phases.,Al0CoCrFeNiTi2,0.6 M NaCl,0.5,H2SO4,-193.4,193.3,9.41,386.7,vacuum arc melting,0,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.333333333,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.100
0,1,0,1,BCC2 + Laves + BCC1 phases.,Al1.8CoCrFeNiTi0.2,0.6 M NaCl,0.6,NaCl,-260,189.4,26.33,449.4,vacuum arc melting,0.3,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.033333333,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.101
0,1,0,1,BCC2 + Laves + BCC1 phases.,Al1.5CoCrFeNiTi0.5,0.6 M NaCl,0.6,NaCl,-239.4,262.2,16.44,501.6,vacuum arc melting,0.25,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.083333333,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.102
0,1,0,1,BCC2 + Laves + BCC1 phases.,Al1.2CoCrFeNiTi0.8,0.6 M NaCl,0.6,NaCl,-258.8,348.6,24.11,607.4,vacuum arc melting,0.2,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.133333333,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.103
0,1,0,1,BCC2 + Laves + BCC1 phases.,AlCoCrFeNiTi,0.6 M NaCl,0.6,NaCl,-311,369.4,32.73,680.4,vacuum arc melting,0.166666667,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.104
0,1,0,1,BCC2 + Laves + BCC1 phases.,Al0.8CoCrFeNiTi1.2,0.6 M NaCl,0.6,NaCl,-426,353,56,779,vacuum arc melting,0.133333333,0,0,0.166666667,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.166666667,0,0,0,0.2,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2019.07.105
1,1,0,0,FCC+BCC,AlCrFeCoCu,1 mol/L NaCl ,1,NaCl,-380,,523,,laser cladding substrate,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,2 mol/L NaCl ,2,NaCl,-117,,60.2,,laser cladding 3 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,3 mol/L NaCl ,3,NaCl,-20,,5.75,,laser cladding 4 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,4 mol/L NaCl ,4,NaCl,48,,0.27,,laser cladding 5 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,5 mol/L NaCl ,5,NaCl,-12,,5.63,,laser cladding 6 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,0.5 mol/L H2SO4 ,0.5,H2SO4,-477,,776,,laser cladding 3 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,0.5 mol/L H2SO4 ,0.5,H2SO4,-109,,10.4,,laser cladding 4 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,0.5 mol/L H2SO4,0.5,H2SO4,-60,,9.73,,laser cladding 5 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,0.5 mol/L H2SO4,0.5,H2SO4,37,,6.67,,laser cladding 6 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,1,0,0,FCC+BCC,AlCrFeCoCu,0.5 mol/L H2SO4,0.5,H2SO4,-34,,80.2,,laser cladding 7 mm/s,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://dx.doi.org/10.1016/j.jallcom.2012.09.091
1,0,0,0,FCC,CoCrFeNi,0.6 M NaCl,0.6,NaCl,-10,550,0.03,560,As-cast,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-40,340,0.72,380,As-cast,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-260,310,0.04,570,350 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-170,310,0.12,480,500 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-240,270,0.02,510,650 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-40,260,0.02,300,800 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-180,280,0.11,460,950 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-150,300,0.14,450,1100 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-20,290,0.01,310,1250 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
0,0,0,0,missing,CoCrCu0.5FeNi,0.6 M NaCl,0.6,NaCl,-160,300,0.05,460,1350 °C/24h,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,-320,380,0.17,700,As-cast,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,-310,430,6.4,740,350 °C/24h,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,-50,530,1.58,580,500 °C/24h,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,290,960,0.53,670,650 °C/24h,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,-390,390,0.3,780,800 °C/24h,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,1,0,0,FCC+BCC,Al0.5CoCrFeNi,0.6 M NaCl,0.6,NaCl,-290,430,2.22,720,950 °C/24h,0.111111111,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.3390/e16020895 
1,0,0,0,FCC,CoCrFeNi,0.6 M NaCl,0.6,NaCl,-248,442,0.108,690,missing,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.matdes.2019.107698
1,0,0,0,FCC,Al0.3CoCrFeNi,0.6 M NaCl,0.6,NaCl,-252,290,0.238,542,missing,0.069767442,0,0,0.23255814,0.23255814,0,0.23255814,0,0,0,0,0,0,0,0.23255814,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.matdes.2019.107698
1,1,0,1,FCC+BCC+B2,Al0.6CoCrFeNi,0.6 M NaCl,0.6,NaCl,-179,190,0.07,369,missing,0.130434783,0,0,0.217391304,0.217391304,0,0.217391304,0,0,0,0,0,0,0,0.217391304,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.matdes.2019.107698
1,1,0,1,FCC+BCC+B2,Al0.9CoCrFeNi,0.6 M NaCl,0.6,NaCl,-216,164,0.093,380,missing,0.183673469,0,0,0.204081633,0.204081633,0,0.204081633,0,0,0,0,0,0,0,0.204081633,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.matdes.2019.107698
1,1,0,1,FCC+BCC+B2,Al0.9CoCrFeNiTi0.5,0.6 M NaCl,0.6,NaCl,-347,184,0.31,531,missing,0.166666667,0,0,0.185185185,0.185185185,0,0.185185185,0,0,0,0,0,0,0,0.185185185,0,0,0,0.092592593,0,0,0,0,0,https://doi.org/10.1016/j.matdes.2019.107698
1,0,0,0,FCC,CoCrFeMnNi,0.6 M NaCl,0.6,NaCl,-457,,1.123,,As-cast,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2020.108954
1,0,0,0,FCC,CoCrFeMnNi,0.6 M NaCl,0.6,NaCl,-265,,4.737,,SLM,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2020.108954
1,1,0,0,FCC+BCC,AlCoCrCuFe,0.6 M NaCl,0.6,NaCl,-264,-130,0.967,134,arc melting+laser melting,0.2,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1179/1743284715Y.0000000026
1,1,0,0,FCC+BCC,(TiAl)0.7V0.15Fe0.1Ni0.05,0.6 M NaCl,0.6,NaCl,-388,263,0.037,651,arc melting+laser melting,0.35,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.05,0,0,0,0.35,0.15,0,0,0,0,https://doi.org/10.1179/1743284715Y.0000000026
1,1,0,0,FCC+BCC,AlTiVCrSi,0.6 M NaCl,0.6,NaCl,-498,11,0.168,509,arc melting+laser melting,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,https://doi.org/10.1179/1743284715Y.0000000026
1,0,0,0,FCC,FeCoNiCr,0.6 M NaCl,0.6,NaCl,-0.26,0.31,0.0315,0.57,as-cast,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,doi:10.1016/j.matchemphys.2005.01.001
1,0,0,0,FCC,FeCoNiCrCu0.5,0.6 M NaCl,0.6,NaCl,-0.29,0.09,0.723,0.38,as-cast,0,0,0,0.222222222,0.222222222,0.111111111,0.222222222,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,doi:10.1016/j.matchemphys.2005.01.001
1,0,0,0,FCC,FeCoNiCrCu,0.6 M NaCl,0.6,NaCl,-0.33,0.08,1.32,0.41,as-cast,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,doi:10.1016/j.matchemphys.2005.01.001
1,1,0,0,FCC+BCC,AlCrFeMnNiTi,0.5 M NaCl,0.5,NaCl,-254.86,,1453,,annealed at 70°C for 1 h,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,https://doi.org/10.1007/s10853-018-3153-z
1,1,0,0,FCC+BCC,AlCrFeMnNiTi,1 M NaCl,1,NaCl,-373.32,,1113,,annealed at 70°C for 1 h,0.166666667,0,0,0,0.166666667,0,0.166666667,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0.166666667,0,0,0,0,0,https://doi.org/10.1007/s10853-018-3153-z
0,1,0,0,BCC,TiZrHfNbTa , Hank’s solution at 310 K,,Hanks,-0.395,,0.08,,missing,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0.2,0.2,0,0,0,0,0.2,https://doi.org/10.1016/j.intermet.2020.106845
0,1,0,0,BCC,TiAl6V4, Hank’s solution at 310 K,,Hanks,-0.325,,0.07,,missing,0.545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.363636364,0,0,0,0,https://doi.org/10.1016/j.intermet.2020.106845
1,0,1,0,FCC+HCP,Fe50Mn30Co10Cr10,0.6 M NaCl,0.6,NaCl,-264,-118,75.3,146,rolling+annealed at 95°C for 60 min,0,0,0,0.1,0.1,0,0.5,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2020.155824
1,0,1,0,FCC+HCP,CoCrFeMnNi,0.6 M NaCl,0.6,NaCl,-268,192,64.4,460,rolling+annealed at 95°C for 61 min,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.jallcom.2020.155824
1,0,0,1,FCC+Laves,FeCoNiCrNb0.5,1M NaCl,1,NaCl,-238,976,0.024,1214,arc melting+annealed at 1473K,0,0,0,0.222222222,0.222222222,0,0.222222222,0,0,0,0,0,0,0.111111111,0.222222222,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,FeCoNi,1M NaCl,1,NaCl,-493,-32,0.4,461,arc melting+annealed at 1474K,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,FeCoNiCr,1M NaCl,1,NaCl,-328,-34,0.28,294,arc melting+annealed at 1475K,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,FeCoNiNb,1M NaCl,1,NaCl,-494,-235,430,259,arc melting+annealed at 1476K,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,CrFeMn0.5Ni0.5,1M NaCl,1,NaCl,-631,-222,0.45,409,arc melting+annealed at 1477K,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,FeCoNiNb0.5Mo0.5,1M NaCl,1,NaCl,-455,295,330,750,arc melting+annealed at 1478K,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.125,0.125,0.25,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Co1.5CrFeNi1.5TiMo0.1,1M NaCl,1,NaCl,-622,973,0.13,1595,arc melting+annealed at 1479K,0,0,0,0.245901639,0.163934426,0,0.163934426,0,0,0,0,0,0.016393443,0,0.245901639,0,0,0,0.163934426,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Co1.5CrFeNi1.5TiMo0.5,1M NaCl,1,NaCl,-734,923,0.2,1657,arc melting+annealed at 1480K,0,0,0,0.230769231,0.153846154,0,0.153846154,0,0,0,0,0,0.076923077,0,0.230769231,0,0,0,0.153846154,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Co1.5CrFeNi1.5TiMo0.8,1M NaCl,1,NaCl,-792,941,0.41,1733,arc melting+annealed at 1481K,0,0,0,0.220588235,0.147058824,0,0.147058824,0,0,0,0,0,0.117647059,0,0.220588235,0,0,0,0.147058824,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Co1.5CrFeNi1.5TiMo0,1M NaCl,1,NaCl,-684,97,0.57,781,arc melting+annealed at 1482K,0,0,0,0.25,0.166666667,0,0.166666667,0,0,0,0,0,0,0,0.25,0,0,0,0.166666667,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Al0.3CrFeMn0.5Ni0.5,1M NaCl,1,NaCl,-641,-391,0.69,250,arc melting+annealed at 1483K,0.090909091,0,0,0,0.303030303,0,0.303030303,0,0,0,0,0.151515152,0,0,0.151515152,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Al0.5CrFeMn0.5Ni0.5,2M NaCl ,2,NaCl,-741,-361,1.02,380,arc melting+annealed at 1484K,0.142857143,0,0,0,0.285714286,0,0.285714286,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Cu0.5NiAlCoCrFeSi,2M NaCl ,2,NaCl,-770,-490,3.16,280,arc melting+annealed at 1485K,0.153846154,0,0,0.153846154,0.153846154,0.076923077,0.153846154,0,0,0,0,0,0,0,0.153846154,0.153846154,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,CuYZrAlHf,2M NaCl ,2,NaCl,-1243,-949,1460,294,arc melting+annealed at 1486K,0.2,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,CuYZrTiHf,2M NaCl ,2,NaCl,-1225,-945,1590,280,arc melting+annealed at 1487K,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,CuYZrAlTi,2M NaCl ,2,NaCl,-1332,-850,2350,482,arc melting+annealed at 1488K,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,https://doi.org/10.1016/j.corsci.2019.108315
1,0,0,1,FCC+Laves,Ni50.8Ti49.2,2M NaCl ,2,NaCl,-380,358,200,738,arc melting+annealed at 1489K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508,0,0,0,0.492,0,0,0,0,0,https://doi.org/10.1016/j.corsci.2019.108315
